INDEX,TIMESTAMP,TWEET,USER NAME,ID,USER LOCATION,USER DESCRIPTION,FOLLOWERS COUNT,VERIFIED STATUS,FRIENDS COUNT,STATUSES COUNT,CREATION TIME,GEO ENABLED,LOCATION,REPLY COUNT,RETWEET COUNT,LIKE COUNT,RETWEETED,FAVORITED,HASHTAGS,LANGUAGE,TAG,SEVERITY-SCORE
1778,Sun Nov 03 20:23:36 +0000 2019,"RT @NFL: The longest run of 2019 (so far) belongs to Damien Williams!

A 91-yard @Chiefs touchdown! #ChiefsKingdom #MINvsKC

📺: FOX
📱: NFL…",⭐️,ALLiZMENTAL,NEWPORT NEWS VIRGINIA,Hannnnn,2009,False,771,21825,Wed Dec 05 05:22:56 +0000 2018,True,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.0
1779,Sun Nov 03 20:23:38 +0000 2019,Chiefs extend the lead on a 45 yd fg from Harrison Butker.  20-16 with :30 to in the 3rd qtr. #ChiefsKingdom #MINvsKC,Rob Collins,RCFOX4KC,Kansas City,"Sports Director - FOX4 TV Kansas City. #Husband #Father #Texan #EmmyWinner #πκΑ #fox4kc. Facebook: Rob Collins FOX4, Instagram: robcollins4 🇺🇸🤠🤘John 3:16",5412,True,1972,18744,Thu Nov 04 16:39:39 +0000 2010,True,"{'id': '9a974dfc8efb32a0', 'url': 'https://api.twitter.com/1.1/geo/id/9a974dfc8efb32a0.json', 'place_type': 'city', 'name': 'Kansas City', 'full_name': 'Kansas City, MO', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-94.733122, 38.868002], [-94.733122, 39.332095], [-94.385441, 39.332095], [-94.385441, 38.868002]]]}, 'attributes': {}}",0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.8895
1780,Sun Nov 03 20:23:41 +0000 2019,Notice how the ball was a bit far but he made a effort to grab it .... Nelson got 5inch on this guy and couldn’t do… https://t.co/85ijbra1fz,EastSide EBK C.Leb🈳,savage903,,Shawdi-Arabia 9⃣0⃣3⃣ TX.. ! #FreeWeezy #FreeChris #FreeKG RIP Aubree RIP Berto SnapChat: C.lebTheSavage,1211,False,1213,66103,Mon May 31 13:51:01 +0000 2010,True,,0,0,0,False,False,[],en,MINvsKC,5.0
1781,Sun Nov 03 20:23:42 +0000 2019,Hill might be the fastest player in our generation lol,Josh Sanders,ShowtimeSanders,The Boo,Retired 👫,454,False,450,24640,Wed Mar 17 02:53:58 +0000 2010,True,,0,0,0,False,False,[],en,MINvsKC,7.1075
1782,Sun Nov 03 20:23:45 +0000 2019,"RT @NFL: The longest run of 2019 (so far) belongs to Damien Williams!

A 91-yard @Chiefs touchdown! #ChiefsKingdom #MINvsKC

📺: FOX
📱: NFL…",Stanley Jordan,MinisterSLJ,United States,,41,False,168,24,Thu Aug 22 04:14:35 +0000 2019,False,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.0
1783,Sun Nov 03 20:23:45 +0000 2019,"RT @ChiefsFocus: Butker with another field goal to extend their lead by 4 points in the 3rd quarter

#ChiefsKingdom | #MINvsKC",Kylie Wingate ❤💛🏈❤💛,kcirishprincess,KC,I'm a nurse. die hard Chiefs fan. super chill personality and loves to have fun #nurses #healthcare #KCrulestheworld,172,False,568,8901,Tue Apr 14 03:10:20 +0000 2009,False,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.8895
1784,Sun Nov 03 20:23:46 +0000 2019,"RT @NFL: The longest run of 2019 (so far) belongs to Damien Williams!

A 91-yard @Chiefs touchdown! #ChiefsKingdom #MINvsKC

📺: FOX
📱: NFL…",Dysen Batten,dysenbatten10,"Ottawa, KS","I am a fan of Stephen Curry, and Donovan Mitchell.",26,False,247,1648,Sun Feb 28 00:34:26 +0000 2016,True,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.0
1785,Sun Nov 03 20:23:47 +0000 2019,"Dieser Extrapunkt wird richtig teuer...
#MINvsKC",Yannick,yannick_re,Mönchengladbach #MGActionTown,| 18 | Student | Borussia Mönchengladbach | @Rauchende_Colts | FC St. Pauli | Darts | NFL - Minnesota Vikings | Fußball-Schiedsrichter |,104,False,182,11518,Wed May 30 14:42:00 +0000 2018,True,,0,0,0,False,False,[{'text': 'MINvsKC'}],de,MINvsKC,5.0
1786,Sun Nov 03 20:23:49 +0000 2019,yeo tyreek🤣,𝘌𝘻,eazzyyyyyy,Hidden Leaf Village ,E* | PHCC Baseball | @kayynickell 💙,690,False,291,6547,Mon Oct 20 02:32:03 +0000 2014,True,"{'id': 'a64e8e20f3390953', 'url': 'https://api.twitter.com/1.1/geo/id/a64e8e20f3390953.json', 'place_type': 'city', 'name': 'Collinsville', 'full_name': 'Collinsville, VA', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-79.945068, 36.688894], [-79.945068, 36.765856], [-79.859103, 36.765856], [-79.859103, 36.688894]]]}, 'attributes': {}}",0,0,0,False,False,[],en,MINvsKC,5.0
1787,Sun Nov 03 20:23:51 +0000 2019,RT @RCFOX4KC: Chiefs extend the lead on a 45 yd fg from Harrison Butker.  20-16 with :30 to in the 3rd qtr. #ChiefsKingdom #MINvsKC,FOX 4 Sports,fox4sports,"FOX 4 News | Kansas City, Mo.",Tweets from the sidelines from FOX 4's sports team.,3872,True,723,13653,Wed Mar 18 15:11:52 +0000 2009,False,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.8895
